12,12,257,5,0,5,0,5,0,5,0,5,0,5,0,3,12,12,257,5,0,5,0,5,0,3,9
12,12,257,5,0,5,0,5,0,5,0,3,12,12,257,5,0,5,0,5,0,3,272,12,12,56,230
12,12,257,5,0,5,0,5,0,3,12,12,257,5,0,5,0,5,0,5,0,5,0,5,0,3,9,257
257,4,13,13,14,9,14,56,11,14,61,13,13,14,257,4,13,13,14,9,14,56,11,14,61,13,13,14
53,44,53,44,53,44,233,33,233,3,33,233,3,33,233,3,233,232,233,232,233,232,3,3,3,3,117,119
257,1,3,203,13,13,14,9,14,56,11,14,61,13,13,14,13,13,14,9,14,56,11,14,61,13,13,14
12,12,257,5,0,5,0,5,0,5,0,5,0,5,0,3,12,12,257,5,0,5,0,5,0,3,9,257
0,3,5,9,10,12,13,14,17,56,218,257,273,302,0,3,5,9,10,12,13,14,17,56,218,257,273,302
0,3,5,9,10,12,13,14,17,56,218,257,273,302,0,3,5,9,10,12,13,14,17,56,218,257,273,302,230
12,12,257,5,0,5,0,5,0,5,0,3,12,12,257,5,0,5,0,5,0,5,0,3,272,12,12,56,230
12,12,257,12,12,257,5,0,5,0,5,0,3,12,12,257,5,0,5,0,5,0,5,0,5,0,5,0,3
12,12,257,12,12,257,5,0,5,0,5,0,5,0,5,0,5,0,3,12,12,257,5,0,5,0,5,0,3
53,44,53,44,53,44,233,33,233,3,33,233,3,33,233,3,233,232,232,233,232,232,233,232,232,3,3,3,3,117,119
5,0,5,0,5,0,5,0,61,13,59,9,56,10,17,12,11,3,257,5,158,21,4,0,102,107,15,108,110,39,104
33,33,12,12,5,0,61,13,59,9,56,10,17,12,11,3,257,5,158,21,4,0,102,107,15,108,110,39,104,8,59
12,12,257,5,0,5,0,5,0,5,0,5,0,5,0,3,12,12,257,5,0,5,0,5,0,5,0,5,0,5,0,3
12,12,257,12,12,257,5,0,5,0,5,0,5,0,5,0,5,0,3,12,12,257,12,12,257,5,0,5,0,5,0,3
12,12,257,12,12,257,5,0,5,0,5,0,3,12,12,257,12,12,257,5,0,5,0,5,0,5,0,5,0,5,0,3
12,12,41,42,3,41,42,3,257,5,0,0,3,257,5,9,3,257,0,5,9,9,9,9,9,3,10,11,257,8,5,0
12,12,257,5,0,5,0,5,0,5,0,5,0,5,0,3,12,12,257,5,0,5,0,5,0,5,0,5,0,5,0,3,9
12,12,5,0,5,0,5,0,5,0,61,13,59,9,56,10,17,12,11,3,257,5,158,21,4,0,102,107,15,108,110,39,104
12,12,257,5,0,5,0,5,0,5,0,5,0,5,0,3,12,12,257,5,0,5,0,5,0,5,0,5,0,5,0,3,9,257
12,12,257,12,12,257,5,0,5,0,5,0,5,0,5,0,5,0,3,12,12,257,5,0,5,0,5,0,5,0,5,0,5,0,3
12,12,257,12,12,257,5,0,5,0,5,0,5,0,5,0,5,0,3,12,12,257,12,12,257,5,0,5,0,5,0,5,0,5,0,5,0,3
12,12,5,0,257,4,5,0,257,4,5,0,257,4,5,0,61,13,59,9,56,10,17,12,11,3,257,5,158,21,4,0,102,107,15,108,110,39,104
0,3,5,9,10,12,13,14,17,56,218,257,273,302,0,3,5,9,10,12,13,14,17,56,218,257,273,302,0,3,5,9,10,12,13,14,17,56,218,257,273,302
12,12,5,0,257,4,12,12,5,0,257,4,12,12,5,0,257,4,12,12,61,13,59,9,56,10,17,12,11,3,257,5,158,21,4,0,102,107,15,108,110,39,104
9,0,3,5,9,10,12,13,14,17,56,218,257,273,302,0,3,5,9,10,12,13,14,17,56,218,257,273,302,0,3,5,9,10,12,13,14,17,56,218,257,273,302
12,12,5,0,257,4,12,12,5,0,257,4,12,12,5,0,257,4,12,12,5,0,61,13,59,9,56,10,17,12,11,3,257,5,158,21,4,0,102,107,15,108,110,39,104
230,0,3,5,9,10,12,13,14,17,56,218,257,273,302,1,230,0,3,5,9,10,12,13,14,17,56,218,257,273,302,1,230,0,3,5,9,10,12,13,14,17,56,218,257,273,302,1,230
41,248,248,248,54,0,3,5,9,10,12,13,14,17,56,218,257,273,302,0,3,5,9,10,12,13,14,17,56,218,257,273,302,230,230,230,230,230,55,9,11,0,3,5,9,10,12,13,14,17,56,218,257,273,302,230,3,248,248,248,230
