EID,func,API use case
12,wcstombs,"__builtin_object_size ((const void *) __dst, 1) < (long unsigned int)"
12,wcstombs,"__wcstombs_chk_warn (__dst, __src, __len, __builtin_object_size ((const void *) __dst, 1));"
12,wcstombs,"__wcstombs_alias (__dst, __src, __len);"
12,open,__builtin_va_arg_pack_len ()
12,open,__open_too_many_args ();
12,open,__builtin_constant_p (__oflag)
12,open,__builtin_va_arg_pack_len ()
12,open,__open_missing_mode ();
12,open,"__open_2 (__path, __oflag);"
12,open,"__open_alias (__path, __oflag, __builtin_va_arg_pack ());"
12,open,__builtin_va_arg_pack_len ()
12,open,"__open_2 (__path, __oflag);"
12,open,"__open_alias (__path, __oflag, __builtin_va_arg_pack ());"
12,openat,__builtin_va_arg_pack_len ()
12,openat,__openat_too_many_args ();
12,openat,__builtin_constant_p (__oflag)
12,openat,__builtin_va_arg_pack_len ()
12,openat,__openat_missing_mode ();
12,openat,"__openat_2 (__fd, __path, __oflag);"
12,openat,"__openat_alias (__fd, __path, __oflag, __builtin_va_arg_pack ());"
12,openat,__builtin_va_arg_pack_len ()
12,openat,"__openat_2 (__fd, __path, __oflag);"
12,openat,"__openat_alias (__fd, __path, __oflag, __builtin_va_arg_pack ());"
12,read,"__builtin_object_size ((const void *) __buf, 0)"
12,read,__builtin_constant_p (__nbytes)
12,read,"__read_chk (__fd, __buf, __nbytes, __builtin_object_size ((const void *) __buf, 0));"
12,read,"__builtin_object_size ((const void *) __buf, 0) < (long unsigned int)"
12,read,"__read_chk_warn (__fd, __buf, __nbytes, __builtin_object_size ((const void *) __buf, 0));"
12,read,"__read_alias (__fd, __buf, __nbytes);"
12,readlink,"__builtin_object_size ((const void *) __buf, 1)"
12,readlink,__builtin_constant_p (__len)
12,readlink,"__readlink_chk (__path, __buf, __len, __builtin_object_size ((const void *) __buf, 1));"
12,readlink,"__builtin_object_size ((const void *) __buf, 1) < (long unsigned int)"
12,readlink,"__readlink_chk_warn (__path, __buf, __len, __builtin_object_size ((const void *) __buf, 1));"
12,readlink,"__readlink_alias (__path, __buf, __len);"
12,readlinkat,"__builtin_object_size ((const void *) __buf, 1)"
12,readlinkat,__builtin_constant_p (__len)
12,readlinkat,"__readlinkat_chk (__fd, __path, __buf, __len, __builtin_object_size ((const void *) __buf, 1));"
