EID,API
45010,BPF_MOV64_IMM
45010,socketpair
45010,w64
45010,strerror
45010,write
45010,BPF_EXIT_INSN
45010,BPF_STX_MEM
45010,setsockopt
45010,perror
45010,BPF_DISABLE_VERIFIER
45010,getuid
45010,fprintf
45010,execl
45010,BPF_JMP_IMM
45516,memset
45516,strlen
45516,setrlimit
45516,memcpy
45516,calloc
45516,execve
45516,stpcpy
45516,die
45516,fstat
45516,unlink
45516,write
45516,mmap
45516,mkstemp
45516,memchr
45553,memset
45553,realloc_NOW
45553,close
45553,pthread_create
45553,DISABLE_SMEP
45553,strstr
45553,execve
45553,atol
45553,CPU_SET
45553,realloc
45553,free
45553,CPU_ZERO
45553,SAVE_RBP
45553,SAVE_ESP
45553,calloc
45553,printf
45553,munmap
45553,offsetof
45553,perror
45553,JUMP_TO
45553,sprintf
45553,PRESS_KEY
45553,sscanf
45553,BUILD_BUG_ON
45553,sleep
47163,execlp
47163,memset
47163,getpid
47163,clone
47163,strlen
47163,prctl
47163,snprintf
47163,dup2
47163,va_start
47163,usleep
47163,read
47163,system
47163,ptrace
47163,memmem
47163,strstr
47163,strncmp
47163,pread
47163,vsprintf
47163,exit
47163,setresgid
47163,basename
47163,getenv
47163,popen
47163,setresuid
47163,waitpid
47163,strndup
47163,offsetof
47163,strcmp
47163,write
47163,strchrnul
47163,strcpy
47163,fork
47163,stat
47163,fcntl
47163,fgets
47163,getuid
47163,getpwuid
47163,pclose
47163,va_end
47163,SAFE
47163,open
47163,execl
47163,pipe2
47168,memset
47168,sendto
47168,strlen
47168,klogctl
47168,getpagesize
47168,uname
47168,va_start
47168,close
47168,strtoul
47168,read
47168,system
47168,assert
47168,memmem
47168,fscanf
47168,ARRAY_SIZE
47168,bind
47168,CPU_SET
47168,get_nprocs_conf
47168,exit
47168,CPU_ZERO
47168,strcat
47168,sched_setaffinity
47168,socket
47168,setns
47168,unshare
47168,mmap
47168,strcmp
47168,write
47168,TPACKET_ALIGN
47168,strcpy
47168,fork
47168,setsockopt
47168,fopen
47168,htons
47168,getuid
47168,va_end
47168,vsnprintf
47168,fclose
47168,if_nametoindex
47168,open
47168,getgid
47168,sleep
47169,memset
47169,strlen
47169,klogctl
47169,getpagesize
47169,uname
47169,va_start
47169,close
47169,strtoul
47169,read
47169,system
47169,memmem
47169,fscanf
47169,strstr
47169,ARRAY_SIZE
47169,CPU_SET
47169,exit
47169,CPU_ZERO
47169,strcat
47169,htonl
47169,sched_setaffinity
47169,socket
47169,setns
47169,unshare
47169,munmap
47169,mmap
47169,strcmp
47169,write
47169,connect
47169,strcpy
47169,send
47169,setsockopt
47169,fopen
47169,htons
47169,getuid
47169,va_end
47169,vsnprintf
47169,fclose
47169,open
47169,mincore
47169,getgid
47170,memset
47170,kill
47170,pthread_join
47170,chmod
47170,strlen
47170,klogctl
47170,getpagesize
47170,WEXITSTATUS
47170,snprintf
47170,uname
47170,strtoul
47170,sigemptyset
47170,close
47170,usleep
47170,syscall
47170,strtok
47170,pthread_create
47170,memmem
47170,dprintf
47170,memcpy
47170,fscanf
47170,readlink
47170,strstr
47170,ARRAY_SIZE
47170,get_nprocs_conf
47170,exit
47170,setresgid
47170,signal
47170,lseek
47170,strcat
47170,sigaddset
47170,chown
47170,setresuid
47170,waitpid
47170,socket
47170,munmap
47170,unshare
47170,mmap
47170,strcmp
47170,write
47170,fork
47170,strcpy
47170,setsockopt
47170,fopen
47170,stat
47170,htons
47170,getuid
47170,pthread_exit
47170,fclose
47170,wait
47170,open
47170,execl
47170,mincore
47170,pthread_sigmask
47170,geteuid
47170,getsockopt
47170,sleep
4756,bzero
4756,malloc
4756,WIFEXITED
4756,waitpid
4756,socket
4756,WEXITSTATUS
4756,fflush
4756,execl
4756,WIFSIGNALED
4756,geteuid
4756,exit
4756,fork
4756,WTERMSIG
50135,memset
50135,getpid
50135,close
50135,read
50135,execve
50135,CPU_SET
50135,pipe
50135,msgrcv
50135,msgctl
50135,CPU_ZERO
50135,msgget
50135,socketpair
50135,printf
50135,sched_setaffinity
50135,socket
50135,setns
50135,unshare
50135,write
50135,strcpy
50135,setsockopt
50135,perror
50135,msgsnd
50135,open
50541,execlp
50541,memset
50541,getpid
50541,strlen
50541,clone
50541,prctl
50541,snprintf
50541,dup2
50541,va_start
50541,usleep
50541,read
50541,system
50541,ptrace
50541,memmem
50541,dprintf
50541,strstr
50541,strncmp
50541,pread
50541,vsprintf
50541,exit
50541,setresgid
50541,basename
50541,popen
50541,getenv
50541,setresuid
50541,waitpid
50541,strndup
50541,offsetof
50541,strcmp
50541,write
50541,strchrnul
50541,strcpy
50541,fork
50541,stat
50541,fcntl
50541,fgets
50541,getuid
50541,getpwuid
50541,pclose
50541,va_end
50541,open
50541,execl
50541,eff
50541,pipe2
5092,memset
5092,STACK
5092,pipe
5092,getuid
5092,setresuid
5092,printf
5092,strerror
5092,putenv
5092,munmap
5092,close
5092,mmap
5092,execl
5092,getgid
5092,exit
5092,setresgid
5092,signal
5092,fflush
5093,fopen
5093,fgets
5093,gimmeroot
5093,pipe
5093,getuid
5093,setresuid
5093,strstr
5093,fclose
5093,write
5093,putenv
5093,strtoul
5093,execl
5093,getgid
5093,exit
5093,setresgid
5093,fflush
6851,stat
6851,memcpy
6851,malloc
6851,ftruncate
6851,munmap
6851,execv
6851,open
6851,mmap
6851,close
6851,read
6851,exit
6851,free
718,system
718,perror
718,chown
718,sprintf
718,getgid
718,exit
744,kill
744,setpgrp
744,memset
744,clone
744,strlen
744,umask
744,sys_munmap
744,close
744,sys_uselib
744,memcpy
744,xstr
744,sys_madvise
744,signal
744,fflush
744,lseek
744,sysinfo
744,fileno
744,strdup
744,sys_sched_yield
744,getopt
744,printf
744,strerror
744,waitpid
744,asm
744,unlink
744,strcmp
744,write
744,fork
744,getppid
744,sys_mremap
744,fopen
744,sys_gettimeofday
744,fgets
744,sys_mmap2
744,pause
744,getuid
744,malloc
744,atoi
